epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.3738,1.22859,3.23089,1.58816,0.00332,1,0.10254,0.04328,0.96048,3.97978,1.78978,1.429e-05,1.429e-05,1.429e-05
2,87.7512,1.17139,3.27217,1.56042,0.0033,1,0.1785,0.07471,0.94469,4.02586,1.73388,4.24456e-05,4.24456e-05,4.24456e-05
3,122.512,1.12622,3.16177,1.53708,0.00335,1,0.25635,0.13593,0.89128,3.92761,1.68895,7.00353e-05,7.00353e-05,7.00353e-05
4,156.931,0.96082,2.98976,1.40337,0.0035,1,0.48948,0.34513,0.82669,3.81335,1.62743,9.70591e-05,9.70591e-05,9.70591e-05
5,191.085,0.87056,2.85009,1.36125,0.0036,1,0.52706,0.35059,0.81664,3.81423,1.54967,0.000123517,0.000123517,0.000123517
6,229.42,0.85839,2.56886,1.26694,0.0036,1,0.56454,0.37092,0.91707,3.74874,1.63466,0.000149409,0.000149409,0.000149409
7,266.64,0.80963,2.23736,1.21756,0.00352,1,0.68814,0.47147,0.99492,3.68422,1.86025,0.000174735,0.000174735,0.000174735
8,301.74,0.75549,1.91647,1.17255,0.00348,1,0.6912,0.47843,1.00557,3.56156,1.91544,0.000199496,0.000199496,0.000199496
9,336.969,0.78692,2.0506,1.25934,0.00357,1,0.68405,0.49603,0.99169,3.54184,1.87427,0.00022369,0.00022369,0.00022369
10,374.622,0.78655,1.84541,1.19082,0.00386,1,0.72454,0.53376,0.94261,3.52961,1.76182,0.000247318,0.000247318,0.000247318
11,410.049,0.77729,1.69776,1.19611,0.00426,1,0.7973,0.61259,0.86159,3.51828,1.64006,0.000270381,0.000270381,0.000270381
12,445.187,0.7154,1.75236,1.18509,0.00452,1,0.73222,0.5285,0.82489,3.56924,1.55678,0.000292878,0.000292878,0.000292878
13,480.295,0.70326,1.60676,1.12765,0.00494,1,0.715,0.51481,0.82046,3.60301,1.54485,0.000314809,0.000314809,0.000314809
14,515.211,0.68389,1.70965,1.14767,0.00529,1,0.68417,0.52061,0.82237,3.50973,1.5737,0.000336174,0.000336174,0.000336174
15,549.551,0.74519,1.70542,1.16447,0.00602,1,0.67317,0.51375,0.85048,3.33199,1.61865,0.000356973,0.000356973,0.000356973
16,584.027,0.72795,1.58714,1.22219,0.34538,1,0.68944,0.50973,0.85827,3.24642,1.62316,0.000377206,0.000377206,0.000377206
17,619.097,0.73485,1.53427,1.16386,0.00586,1,0.80494,0.60899,0.93065,3.24714,1.68745,0.000396873,0.000396873,0.000396873
18,654.544,0.75606,1.48958,1.22684,0.00551,1,0.83286,0.59954,1.00075,3.25515,1.7396,0.000415975,0.000415975,0.000415975
19,688.31,0.64859,1.55546,1.16412,0.14944,1,0.80167,0.57698,1.09574,3.11451,1.80672,0.00043451,0.00043451,0.00043451
20,722.558,0.60795,1.31288,1.06972,0.91362,0.7433,0.89125,0.65201,0.95035,3.00419,1.68366,0.00045248,0.00045248,0.00045248
21,757.36,0.7471,1.36754,1.21739,1,0.638,0.95333,0.68813,0.93156,3.02089,1.72542,0.000469884,0.000469884,0.000469884
22,792.58,0.60152,1.24734,1.11761,1,0.60565,0.96722,0.69146,0.97299,3.00913,1.86642,0.000486722,0.000486722,0.000486722
23,831.059,0.68771,1.31554,1.10693,0.91783,0.60183,0.95929,0.67922,1.05225,2.9851,1.97958,0.000502994,0.000502994,0.000502994
24,865.499,0.71769,1.20788,1.10685,0.90986,0.82354,0.95929,0.67199,1.02107,3.1209,1.8459,0.0005187,0.0005187,0.0005187
25,901.003,0.78323,1.23491,1.25441,0.84694,0.75,0.86722,0.54096,1.03523,3.06706,1.89206,0.00053384,0.00053384,0.00053384
26,935.417,0.68643,1.07107,1.08105,0.83646,0.66667,0.85611,0.54965,1.05657,3.19179,1.85141,0.000548414,0.000548414,0.000548414
27,969.694,0.6987,1.19181,1.15318,0.81508,0.64492,0.85611,0.49368,1.12851,3.01006,2.01819,0.000562423,0.000562423,0.000562423
28,1003.58,0.66023,1.02965,1.08433,0.81508,0.64492,0.85611,0.49368,1.12851,3.01006,2.01819,0.000575866,0.000575866,0.000575866
29,1037.52,0.76939,1.30259,1.187,0.81747,0.63717,0.89817,0.62254,1.15354,2.95325,2.15003,0.000588742,0.000588742,0.000588742
30,1071.06,0.65527,1.08228,1.12738,0.78251,0.91598,0.94639,0.62503,1.16295,2.91399,1.96892,0.000601053,0.000601053,0.000601053
31,1105.04,0.69606,1.04864,1.12608,0.78251,0.91598,0.94639,0.62503,1.16295,2.91399,1.96892,0.000612798,0.000612798,0.000612798
32,1138.6,0.69485,1.12967,1.17124,0.8774,0.91627,0.94639,0.66205,1.14924,2.93015,1.97047,0.000623977,0.000623977,0.000623977
33,1173.45,0.66582,0.98854,1.06026,0.75927,0.84819,0.84169,0.54519,1.0109,3.20258,1.91911,0.00063459,0.00063459,0.00063459
34,1207.91,0.59185,0.99984,1.08236,0.75927,0.84819,0.84169,0.54519,1.0109,3.20258,1.91911,0.000644638,0.000644638,0.000644638
35,1241.31,0.72077,1.12428,1.13988,0.45638,0.68335,0.61058,0.4301,1.05808,3.33134,2.04896,0.000654119,0.000654119,0.000654119
36,1275.84,0.65632,1.00066,1.10069,0.91802,0.53654,0.79648,0.51137,1.21407,2.99925,2.49144,0.000663035,0.000663035,0.000663035
37,1309.92,0.6949,1.00842,1.20096,0.91802,0.53654,0.79648,0.51137,1.21407,2.99925,2.49144,0.000671384,0.000671384,0.000671384
38,1344.31,0.65611,1.06942,1.11398,0.52878,0.7114,0.73722,0.49269,1.22421,2.77081,2.20464,0.000679168,0.000679168,0.000679168
39,1377.71,0.61989,1.00407,1.10577,0.60105,0.85289,0.77648,0.48701,1.14473,3.04572,1.87495,0.000686386,0.000686386,0.000686386
40,1411.65,0.65826,1.0011,1.10425,0.60105,0.85289,0.77648,0.48701,1.14473,3.04572,1.87495,0.000693038,0.000693038,0.000693038
41,1444.8,0.60272,0.96912,1.10953,0.94121,0.79463,0.87467,0.56176,1.22084,2.97884,1.903,0.000699124,0.000699124,0.000699124
42,1479.2,0.57934,0.99596,1.0512,0.94144,0.79449,0.89643,0.56479,1.27906,2.60389,2.14828,0.000704644,0.000704644,0.000704644
43,1513.64,0.48692,0.92564,1.02239,0.94144,0.79449,0.89643,0.56479,1.27906,2.60389,2.14828,0.000709599,0.000709599,0.000709599
44,1548.04,0.5357,0.9546,1.05097,0.97638,0.9355,0.995,0.59948,1.2355,2.34112,2.23597,0.000713987,0.000713987,0.000713987
45,1583.95,0.57674,0.95949,1.05987,0.97638,0.9355,0.995,0.59948,1.2355,2.34112,2.23597,0.00071781,0.00071781,0.00071781
46,1618.21,0.59538,0.95754,1.07715,0.95284,0.95075,0.995,0.69236,1.12894,2.09628,2.16062,0.000721066,0.000721066,0.000721066
47,1658.13,0.65756,0.92896,1.08176,0.95284,0.95075,0.995,0.69236,1.12894,2.09628,2.16062,0.000723757,0.000723757,0.000723757
48,1691.27,0.6292,0.98258,1.09938,0.96781,0.88436,0.995,0.74128,0.94943,2.10682,1.95574,0.000725882,0.000725882,0.000725882
49,1725.55,0.54032,0.85479,1.03678,0.96781,0.88436,0.995,0.74128,0.94943,2.10682,1.95574,0.000727441,0.000727441,0.000727441
50,1760.39,0.62566,0.90882,1.08819,0.93531,0.93243,0.995,0.58589,1.08261,2.37671,2.17659,0.000728434,0.000728434,0.000728434
51,1794.1,0.62632,0.87746,1.12893,0.93531,0.93243,0.995,0.58589,1.08261,2.37671,2.17659,0.000721645,0.000721645,0.000721645
52,1827.34,0.54969,0.86232,1.02918,0.8885,0.9448,0.995,0.6548,1.02334,2.58455,2.02712,0.000707498,0.000707498,0.000707498
53,1860.97,0.66964,1.02795,1.13932,0.8885,0.9448,0.995,0.6548,1.02334,2.58455,2.02712,0.000693351,0.000693351,0.000693351
54,1895.67,0.53696,0.85589,0.9909,0.81899,0.97183,0.995,0.65527,1.06887,2.41604,2.14656,0.000679204,0.000679204,0.000679204
55,1929.58,0.55206,0.86588,1.00588,0.81899,0.97183,0.995,0.65527,1.06887,2.41604,2.14656,0.000665057,0.000665057,0.000665057
56,1964.36,0.60134,0.97661,1.0788,0.83372,0.97152,0.995,0.66564,1.14557,2.14691,2.29198,0.000650909,0.000650909,0.000650909
57,1997.94,0.52843,0.80682,1.02129,0.83372,0.97152,0.995,0.66564,1.14557,2.14691,2.29198,0.000636762,0.000636762,0.000636762
58,2032.99,0.52512,0.82908,1.06676,0.95304,1,0.995,0.67721,1.15778,1.93174,2.35483,0.000622615,0.000622615,0.000622615
59,2067.49,0.53057,0.88098,1.03955,0.95304,1,0.995,0.67721,1.15778,1.93174,2.35483,0.000608468,0.000608468,0.000608468
60,2102.51,0.55656,0.88281,1.07988,0.93918,0.98777,0.995,0.71751,1.09124,1.80632,2.24563,0.000594321,0.000594321,0.000594321
61,2137.33,0.51484,0.893,1.03249,0.93918,0.98777,0.995,0.71751,1.09124,1.80632,2.24563,0.000580174,0.000580174,0.000580174
62,2172.46,0.56066,0.95038,1.07769,0.76782,0.96531,0.97833,0.67594,1.07855,2.05917,2.1784,0.000566027,0.000566027,0.000566027
63,2208.45,0.51691,0.80838,1.01446,0.76782,0.96531,0.97833,0.67594,1.07855,2.05917,2.1784,0.00055188,0.00055188,0.00055188
64,2242.79,0.65862,0.95692,1.12453,0.71615,0.96671,0.97833,0.65488,1.03925,2.26014,2.07651,0.000537733,0.000537733,0.000537733
65,2277.22,0.47976,0.7662,0.99225,0.71615,0.96671,0.97833,0.65488,1.03925,2.26014,2.07651,0.000523586,0.000523586,0.000523586
66,2312.22,0.49939,0.85615,1.04513,0.66716,0.83996,0.96722,0.69044,0.97126,2.11911,1.95291,0.000509438,0.000509438,0.000509438
67,2346.22,0.49128,0.90085,1.02139,0.66716,0.83996,0.96722,0.69044,0.97126,2.11911,1.95291,0.000495291,0.000495291,0.000495291
68,2379.86,0.51669,0.89134,1.01857,0.92812,0.98973,0.995,0.71458,1.04255,1.63638,2.11203,0.000481144,0.000481144,0.000481144
69,2414.38,0.51779,0.81469,1.04371,0.92812,0.98973,0.995,0.71458,1.04255,1.63638,2.11203,0.000466997,0.000466997,0.000466997
70,2448.72,0.43199,0.8138,1.00792,0.94217,1,0.995,0.69259,1.20039,1.66467,2.31185,0.00045285,0.00045285,0.00045285
71,2484.01,0.55548,0.85611,1.03224,0.94217,1,0.995,0.69259,1.20039,1.66467,2.31185,0.000438703,0.000438703,0.000438703
72,2517.8,0.51457,0.77862,0.93614,0.8152,0.97175,0.995,0.68135,1.26283,1.78533,2.42468,0.000424556,0.000424556,0.000424556
73,2552.35,0.50175,0.78234,1.01329,0.8152,0.97175,0.995,0.68135,1.26283,1.78533,2.42468,0.000410409,0.000410409,0.000410409
74,2586.68,0.47652,0.79886,0.96387,0.90403,0.86106,0.995,0.66765,1.3002,1.84887,2.48796,0.000396262,0.000396262,0.000396262
