epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,319.909,0.89016,3.35749,1.35169,0.00759,1,0.42053,0.26526,0.68958,3.99513,1.29981,0.00013,0.00013,0.00013
2,500.686,0.78734,2.79112,1.27186,0.01241,1,0.46951,0.3584,0.74264,3.78336,1.38858,0.000267327,0.000267327,0.000267327
3,677.83,0.79537,2.23928,1.28727,0.95691,0.06151,0.62181,0.47164,0.71739,3.35758,1.29715,0.000401882,0.000401882,0.000401882
4,858.915,0.76793,1.80511,1.24441,0.68973,0.42532,0.74909,0.56648,0.79396,2.85905,1.39892,0.000533665,0.000533665,0.000533665
5,1033.13,0.73115,1.63807,1.23176,0.88763,0.67058,0.82606,0.60615,0.8581,2.32424,1.47331,0.000662676,0.000662676,0.000662676
6,1210.36,0.75587,1.49996,1.2109,0.84817,0.78269,0.88425,0.63037,0.83349,2.42838,1.49479,0.000788915,0.000788915,0.000788915
7,1388.73,0.79588,1.38345,1.29438,0.8485,0.8752,0.97005,0.66646,0.92766,2.43352,1.69836,0.000912382,0.000912382,0.000912382
8,1568.62,0.74653,1.2499,1.22355,0.72447,0.7154,0.7819,0.44083,1.39811,3.36785,2.57726,0.0009307,0.0009307,0.0009307
9,1744.02,0.74708,1.17749,1.21491,0.86307,0.70465,0.85418,0.56684,1.07253,2.19612,1.77697,0.0009208,0.0009208,0.0009208
10,1922.67,0.77525,1.18478,1.21872,0.76277,0.8924,0.955,0.69919,0.91186,2.26211,1.58011,0.0009109,0.0009109,0.0009109
11,2101.43,0.71752,1.13129,1.18124,0.90269,0.87415,0.96143,0.7152,0.90099,1.77665,1.5685,0.000901,0.000901,0.000901
12,2278.52,0.76176,1.24013,1.25684,0.91587,0.89582,0.91548,0.67107,0.9062,1.94614,1.56883,0.0008911,0.0008911,0.0008911
13,2451.5,0.74201,1.05933,1.18174,0.70225,0.82108,0.84768,0.55982,1.09202,2.02103,1.74637,0.0008812,0.0008812,0.0008812
14,2628.29,0.72708,1.02445,1.17148,0.79818,0.74766,0.79049,0.61117,0.84827,2.03832,1.50744,0.0008713,0.0008713,0.0008713
15,2805.61,0.73891,1.06615,1.20031,0.81877,0.87526,0.92531,0.67528,0.88847,1.70499,1.51316,0.0008614,0.0008614,0.0008614
16,2983.72,0.71842,1.00455,1.17031,0.74798,0.72467,0.76385,0.56121,0.96634,1.91341,1.65083,0.0008515,0.0008515,0.0008515
17,3165.01,0.66721,0.87332,1.14179,0.96008,0.82334,0.94573,0.72542,0.8887,1.57939,1.57293,0.0008416,0.0008416,0.0008416
18,3340.77,0.69794,0.98153,1.18713,0.89291,0.88665,0.9634,0.73607,0.83651,1.47099,1.39123,0.0008317,0.0008317,0.0008317
19,3520.13,0.67267,0.89642,1.14166,0.92632,0.82557,0.98213,0.75051,0.8499,1.47969,1.41967,0.0008218,0.0008218,0.0008218
20,3697.92,0.67716,0.89925,1.16136,0.97045,0.96841,0.99007,0.7889,0.77963,1.20874,1.33434,0.0008119,0.0008119,0.0008119
21,3875.98,0.66105,0.87841,1.16682,0.92157,0.9456,0.97355,0.77961,0.76202,1.23533,1.30347,0.000802,0.000802,0.000802
22,4050.42,0.68443,0.9152,1.13693,0.91194,0.99213,0.99271,0.80398,0.76249,1.09475,1.31476,0.0007921,0.0007921,0.0007921
23,4227.4,0.64772,0.81767,1.12701,0.97055,0.95455,0.995,0.79243,0.80619,1.13541,1.42873,0.0007822,0.0007822,0.0007822
24,4406.13,0.72347,0.85774,1.16164,0.88094,0.93699,0.9806,0.7224,0.92728,1.25989,1.55394,0.0007723,0.0007723,0.0007723
25,4587.61,0.64538,0.81114,1.16509,0.97619,0.9554,0.99377,0.82741,0.7316,1.06252,1.25803,0.0007624,0.0007624,0.0007624
26,4766.2,0.69824,0.85211,1.18904,0.97569,0.98,0.995,0.80844,0.80613,0.9421,1.31762,0.0007525,0.0007525,0.0007525
27,4939.94,0.64431,0.7951,1.12683,0.93527,0.97976,0.98903,0.81225,0.71405,0.9445,1.22821,0.0007426,0.0007426,0.0007426
28,5112.71,0.6585,0.77011,1.12969,0.95859,0.92046,0.96391,0.72381,0.82468,1.10429,1.3092,0.0007327,0.0007327,0.0007327
29,5290.61,0.59303,0.74167,1.08946,0.95201,0.88618,0.951,0.74344,0.80834,1.14034,1.33128,0.0007228,0.0007228,0.0007228
30,5463.83,0.64325,0.74885,1.12141,0.98268,0.96132,0.991,0.79567,0.73524,0.95908,1.2669,0.0007129,0.0007129,0.0007129
31,5638.47,0.62729,0.6972,1.12367,0.98492,0.95537,0.98773,0.79399,0.7088,0.85901,1.25966,0.000703,0.000703,0.000703
32,5817.28,0.62766,0.7065,1.1292,0.93181,0.96304,0.98625,0.80722,0.75221,0.85671,1.31355,0.0006931,0.0006931,0.0006931
33,5993.9,0.63502,0.6961,1.11444,0.98325,0.96746,0.995,0.81633,0.71442,0.8383,1.28446,0.0006832,0.0006832,0.0006832
34,6172.08,0.6239,0.6471,1.09845,0.94218,0.98193,0.99254,0.8087,0.71629,0.86561,1.25956,0.0006733,0.0006733,0.0006733
35,6346.82,0.59928,0.5995,1.09764,0.95281,0.94796,0.97563,0.82299,0.65697,0.88947,1.21059,0.0006634,0.0006634,0.0006634
36,6519.61,0.57728,0.62815,1.08596,0.9827,0.96221,0.97541,0.79599,0.68628,0.81914,1.25003,0.0006535,0.0006535,0.0006535
37,6695.4,0.56616,0.59147,1.07782,0.95778,0.97655,0.99254,0.81926,0.67912,0.84804,1.21109,0.0006436,0.0006436,0.0006436
38,6876.59,0.61115,0.62086,1.10999,0.93429,0.95109,0.99104,0.83082,0.6647,0.91461,1.18108,0.0006337,0.0006337,0.0006337
39,7053.39,0.57427,0.64504,1.09036,0.96796,0.98992,0.995,0.81394,0.68883,0.777,1.19653,0.0006238,0.0006238,0.0006238
40,7230.4,0.6102,0.62574,1.14,0.97006,0.96744,0.99377,0.82464,0.74269,0.7821,1.26024,0.0006139,0.0006139,0.0006139
41,7401.76,0.54864,0.56804,1.07034,0.96015,0.99239,0.995,0.81914,0.73449,0.77976,1.26245,0.000604,0.000604,0.000604
42,7572.94,0.55424,0.60287,1.0791,0.97087,0.97568,0.995,0.8341,0.65097,0.76939,1.16712,0.0005941,0.0005941,0.0005941
43,7751.5,0.53862,0.56558,1.03742,0.98479,0.98974,0.995,0.81883,0.67416,0.76331,1.22742,0.0005842,0.0005842,0.0005842
44,7926.61,0.59749,0.58828,1.09196,0.93498,0.96375,0.98605,0.75886,0.78552,0.83242,1.3257,0.0005743,0.0005743,0.0005743
45,8107.59,0.57588,0.54328,1.05001,0.95928,0.99132,0.995,0.80321,0.74636,0.82376,1.24838,0.0005644,0.0005644,0.0005644
46,8284.66,0.51239,0.53026,1.02603,0.98889,0.99556,0.995,0.81433,0.66638,0.67352,1.18023,0.0005545,0.0005545,0.0005545
47,8461.14,0.55395,0.53571,1.06592,0.98837,0.96667,0.99138,0.83854,0.66416,0.65178,1.18573,0.0005446,0.0005446,0.0005446
48,8632.4,0.53201,0.53323,1.03793,0.99201,0.95501,0.98934,0.80817,0.72211,0.66572,1.23849,0.0005347,0.0005347,0.0005347
49,8799.8,0.55579,0.52803,1.07539,0.98645,0.9975,0.995,0.81447,0.7179,0.66653,1.23458,0.0005248,0.0005248,0.0005248
50,8964.98,0.55735,0.52074,1.0518,0.93114,1,0.995,0.82955,0.66467,0.67024,1.18692,0.0005149,0.0005149,0.0005149
51,9140.47,0.53862,0.55117,1.06362,0.99085,0.99138,0.995,0.83342,0.63995,0.59345,1.15509,0.000505,0.000505,0.000505
52,9316.67,0.5254,0.50291,1.04869,0.9652,0.97402,0.995,0.81957,0.66146,0.6412,1.16494,0.0004951,0.0004951,0.0004951
53,9492.42,0.49662,0.48641,1.02961,0.98798,1,0.995,0.82845,0.68547,0.61571,1.19406,0.0004852,0.0004852,0.0004852
54,9666.36,0.52932,0.50596,1.05303,0.94168,0.96367,0.9935,0.82339,0.69194,0.63809,1.20206,0.0004753,0.0004753,0.0004753
55,9838.44,0.50772,0.50956,1.02145,0.9642,0.98677,0.995,0.83282,0.651,0.61609,1.14855,0.0004654,0.0004654,0.0004654
56,10009.5,0.52698,0.488,1.06266,0.98243,0.99455,0.995,0.82824,0.68088,0.58045,1.17736,0.0004555,0.0004555,0.0004555
57,10176.3,0.52389,0.50148,1.05133,0.99322,0.98549,0.995,0.82702,0.65989,0.57729,1.14348,0.0004456,0.0004456,0.0004456
58,10346.4,0.51826,0.47104,1.02792,0.96802,0.98333,0.99271,0.84219,0.67423,0.5922,1.18398,0.0004357,0.0004357,0.0004357
59,10517.1,0.51227,0.49043,1.06352,0.95864,0.98333,0.99271,0.82812,0.70134,0.61424,1.21518,0.0004258,0.0004258,0.0004258
60,10694.1,0.48551,0.46536,1.0305,0.97555,0.99009,0.995,0.85052,0.67743,0.55734,1.18955,0.0004159,0.0004159,0.0004159
61,10871.2,0.47786,0.45187,1.01319,0.97447,0.98965,0.995,0.80216,0.69879,0.56768,1.21405,0.000406,0.000406,0.000406
62,11049,0.49477,0.4798,1.03035,0.9874,0.99488,0.995,0.81276,0.66066,0.58147,1.14829,0.0003961,0.0003961,0.0003961
63,11228.5,0.4815,0.44521,1.01652,0.98781,1,0.995,0.83021,0.68209,0.54991,1.15935,0.0003862,0.0003862,0.0003862
64,11401.1,0.46433,0.47508,0.99809,0.9597,0.98549,0.99254,0.81771,0.67673,0.53151,1.17495,0.0003763,0.0003763,0.0003763
65,11578.5,0.50407,0.46842,1.04354,0.96331,0.99696,0.99377,0.84106,0.65705,0.52087,1.15523,0.0003664,0.0003664,0.0003664
66,11751.5,0.50463,0.43688,1.03232,0.9808,0.99709,0.995,0.85063,0.64258,0.52866,1.13918,0.0003565,0.0003565,0.0003565
67,11926.9,0.47038,0.46251,1.00512,0.98104,0.99411,0.995,0.85089,0.64823,0.50996,1.14362,0.0003466,0.0003466,0.0003466
68,12105.1,0.45151,0.44626,1.00342,0.99116,0.99646,0.995,0.8349,0.66238,0.50743,1.17016,0.0003367,0.0003367,0.0003367
69,12286,0.48819,0.46791,1.03052,0.98848,0.99466,0.995,0.83241,0.64792,0.5157,1.15344,0.0003268,0.0003268,0.0003268
70,12461.2,0.47422,0.44846,1.01694,0.98994,0.99424,0.995,0.82499,0.66702,0.5256,1.16832,0.0003169,0.0003169,0.0003169
71,12639.3,0.46289,0.45248,1.01601,0.99167,0.98998,0.995,0.84705,0.6356,0.52087,1.13908,0.000307,0.000307,0.000307
72,12815.2,0.43475,0.39803,0.99166,0.99131,0.98676,0.995,0.85808,0.66048,0.50546,1.17058,0.0002971,0.0002971,0.0002971
73,12991.4,0.42438,0.3946,0.99005,0.99247,0.98832,0.995,0.83717,0.64199,0.48653,1.13695,0.0002872,0.0002872,0.0002872
74,13166.8,0.4227,0.40067,0.98815,0.98854,0.99583,0.995,0.83621,0.66374,0.50777,1.15164,0.0002773,0.0002773,0.0002773
75,13341.2,0.41863,0.39957,0.98561,0.98671,0.98624,0.995,0.83051,0.667,0.51845,1.15452,0.0002674,0.0002674,0.0002674
